I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39,I40,I41,I42,I43,I44,I45,I46,I47,I48,I49,I50,I51,I52,I53,I54,I55,I56,I57,I58,I59,I60,I61,I62,I63,I64,I65,I66,I67,I68,I69,I70,I71,I72,I73,I74
0.000000,0.003140,0.001942,0.000331,0.116887,0.145405,0.001276,-0.085304,0.074506,0.001781,0.001042,0.000337,0.012156,0.030398,0.010496,0.015905,0.078466,0.003199,0.001140,0.000000,0.025129,0.086853,-0.003873,0.000000,0.000000,0.008773,0.001789,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.641965,0.000000,-4.887539,-0.268508,0.000000,0.911265,-21.581963,-21.581963,-0.006405,-2.157385,0.911265,12.280354,-1.626906,-4.887539,1.493303,0.902897,0.000000,-7.250107,0.000000,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019992,0.019116,-0.000617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003144,0.001942,0.000331,0.116888,0.145401,-0.021217,-0.083908,0.074506,0.001781,0.001042,0.000337,0.012156,0.030398,-0.008106,0.015387,0.078466,0.003199,0.001140,0.000000,0.025129,0.086853,-0.005273,0.000000,0.000000,0.008772,0.001789,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.599675,0.000000,-4.807556,-0.291260,0.000000,0.881590,-21.597187,-21.597187,-0.038985,0.473298,0.881590,-9.484036,0.009363,-4.807556,-24.823612,1.233710,0.000000,-9.871572,0.000003,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019992,0.019116,-0.000617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003145,0.001942,0.000331,0.116889,0.145397,-0.030568,-0.082506,0.074711,0.001781,0.001042,0.000337,0.012156,0.030399,0.011108,0.012465,0.078466,0.003199,0.001140,0.000000,0.025129,0.086853,0.005426,0.000000,0.000000,0.008771,0.001789,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.597242,0.000000,-4.727241,-0.240243,0.000000,0.714190,-21.598116,-21.598116,0.013467,-0.210788,0.714190,12.996061,-0.666082,-4.727241,-35.764957,-1.266464,0.000000,10.158106,0.000004,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019992,0.019116,-0.000617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003148,0.001942,0.000331,0.116889,0.145393,-0.021125,-0.081812,0.074711,0.001781,0.001042,0.000337,0.012156,0.030399,0.014822,0.014139,0.078404,0.003199,0.001140,0.000000,0.025129,0.086852,-0.000250,0.000000,0.000000,0.008770,0.001789,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.562867,0.000000,-4.687498,-0.269359,0.000000,0.810100,-21.557863,-21.557863,-0.018214,-0.822778,0.810100,17.341965,-0.056627,-4.687498,-24.715889,0.060277,0.000000,-0.467079,0.000004,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019992,0.019116,-0.000618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003149,0.001941,0.000331,0.116890,0.145389,-0.023352,-0.082216,0.075105,0.001780,0.001042,0.000337,0.012156,0.030399,0.003955,0.012752,0.078404,0.003199,0.001140,0.000000,0.025129,0.086852,-0.000314,0.000000,0.000000,0.008770,0.001788,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.559121,0.000000,-4.710628,-0.247756,0.000000,0.730617,-21.578009,-21.578009,-0.013963,-0.032677,0.730617,4.626986,0.864352,-4.710628,-27.321646,0.075360,0.000000,-0.587512,0.000000,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019992,0.019116,-0.000618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003150,0.001941,0.000331,0.116891,0.145384,-0.028921,-0.083311,0.075105,0.001780,0.001042,0.000337,0.012156,0.030399,0.020058,0.013479,0.078077,0.003195,0.001140,0.000000,0.025131,0.086851,-0.002249,0.000000,0.000000,0.008769,0.001788,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.571764,0.000000,-4.773366,-0.254024,0.000000,0.772283,-21.531256,-21.531256,0.064157,-1.151881,0.772283,23.467741,1.309575,-4.773366,-33.837364,0.515791,0.000000,-4.210959,-0.000001,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019992,0.019116,-0.000618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003149,0.001941,0.000331,0.116891,0.145380,-0.019406,-0.083354,0.075105,0.001780,0.001042,0.000337,0.012156,0.030399,-0.013130,0.013837,0.078077,0.003195,0.001140,0.000000,0.025131,0.086851,-0.000891,0.000000,0.000000,0.008768,0.001788,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.593618,0.000000,-4.775827,-0.270548,0.000000,0.792809,-21.475437,-21.475437,0.004677,1.074932,0.792809,-15.362388,-0.138970,-4.775827,-22.705242,0.207102,0.000000,-1.667128,-0.000003,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019992,0.019116,-0.000617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003147,0.001941,0.000331,0.116895,0.145377,-0.006812,-0.086465,0.075105,0.001780,0.001042,0.000337,0.012156,0.030399,0.001022,0.015427,0.078181,0.003195,0.001140,0.000000,0.025131,0.086850,-0.001617,0.000000,0.000000,0.008767,0.001788,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.634303,0.000000,-4.954062,-0.302459,0.000000,0.883929,-21.539526,-21.539526,-0.026359,0.375371,0.883929,1.195858,0.175478,-4.954062,-7.970314,0.378960,0.000000,-3.027828,-0.000008,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019992,0.019116,-0.000617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003145,0.001941,0.000331,0.116898,0.145373,-0.018874,-0.086886,0.075493,0.001780,0.001042,0.000337,0.012157,0.030399,-0.000247,0.016805,0.078005,0.003194,0.001140,0.000000,0.025131,0.086850,0.001558,0.000000,0.000000,0.008767,0.001788,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.659913,0.000000,-4.978173,-0.331202,0.000000,0.962867,-21.468649,-21.468649,0.012638,0.743919,0.962867,-0.289202,-0.199833,-4.978173,-22.082230,-0.364602,0.000000,2.916178,-0.000002,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019991,0.019116,-0.000617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003147,0.001941,0.000331,0.116899,0.145370,-0.013612,-0.087274,0.075493,0.001780,0.001042,0.000337,0.012157,0.030399,0.001144,0.018448,0.078092,0.003194,0.001140,0.000000,0.025131,0.086850,0.005567,0.000000,0.000000,0.008766,0.001788,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.651211,0.000000,-5.000406,-0.343924,0.000000,1.056977,-21.472162,-21.472162,0.029780,-0.146147,1.056977,1.338869,0.377776,-5.000406,-15.926525,-1.300459,0.000000,10.421005,-0.000002,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019991,0.019116,-0.000617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003149,0.001941,0.000331,0.116900,0.145366,-0.024443,-0.086044,0.075493,0.001780,0.001042,0.000337,0.012157,0.030399,-0.002709,0.017155,0.078092,0.003194,0.001140,0.000000,0.025131,0.086850,-0.004865,0.000000,0.000000,0.008765,0.001788,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.653743,0.000000,-4.929943,-0.334766,0.000000,0.982883,-21.464739,-21.464739,-0.046934,0.574465,0.982883,-3.169895,-0.388201,-4.929943,-28.598261,1.140066,0.000000,-9.106441,-0.000002,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019991,0.019116,-0.000617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003152,0.001941,0.000331,0.116901,0.145362,-0.018984,-0.084534,0.075493,0.001780,0.001042,0.000337,0.012157,0.030399,0.001362,0.016086,0.078268,0.003193,0.001140,0.000000,0.025131,0.086849,0.007855,0.000000,0.000000,0.008764,0.001788,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.629663,0.000000,-4.843446,-0.302225,0.000000,0.921639,-21.481394,-21.481394,0.083396,-0.036974,0.921639,1.593430,-1.088513,-4.843446,-22.211739,-1.841273,0.000000,14.703641,0.000005,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019992,0.019116,-0.000617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003152,0.001941,0.000331,0.116903,0.145358,-0.024717,-0.087593,0.075493,0.001780,0.001042,0.000337,0.012157,0.030399,0.005809,0.013743,0.078268,0.003193,0.001140,0.000000,0.025131,0.086849,-0.010307,0.000000,0.000000,0.008764,0.001788,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.644552,0.000000,-5.018692,-0.262440,0.000000,0.787426,-21.418007,-21.418007,-0.062982,-0.053928,0.787426,6.796670,1.641357,-5.018692,-28.918711,2.409456,0.000000,-19.294640,-0.000002,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019992,0.019116,-0.000617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.003156,0.001941,0.000331,0.116903,0.145354,-0.005027,-0.082991,0.076155,0.001779,0.001042,0.000337,0.012158,0.030400,0.006881,0.015750,0.078227,0.003192,0.001140,0.000000,0.025131,0.086849,0.015382,0.000000,0.000000,0.008763,0.001788,0.000000,0.199941,0.199919,-1.351351,-1.000000,1.598863,0.000000,-4.755024,-0.290187,0.000000,0.902419,-21.380831,-21.380831,0.045010,-0.913381,0.902419,8.050223,-1.625461,-4.755024,-5.881413,-3.590734,0.000000,28.795965,0.000004,-1.000000,-300.000000,-19.539577,-19.539577,2.000000,22.037025,22.037025,2.000000,0.019992,0.019116,-0.000617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
